id_task,id_user,arrived_del_loc_at,id_telemetry,latitude,longitude,accuracy_radius,android_activity,android_activity_confidence,telemetry_time
60295302,83835,2025-03-14 16:23:19.000000 UTC,66570114,252101580,552732274,5.94,UNKNOWN,40.0,2025-03-14 16:23:19.000000 UTC
60296320,98454,2025-03-14 16:23:14.000000 UTC,66564471,251941671,552634601,4.175,UNKNOWN,40.0,2025-03-14 16:22:59.000000 UTC
60296705,96098,2025-03-14 16:29:18.000000 UTC,66670063,252026046,552627444,12.607,STILL,100.0,2025-03-14 16:29:29.000000 UTC
60296613,46855,2025-03-14 16:29:08.000000 UTC,66661693,251734018,553001525,6.233,UNKNOWN,40.0,2025-03-14 16:28:58.000000 UTC
60293728,9186,2025-03-14 16:22:56.000000 UTC,66567926,252102188,552727775,9.983,UNKNOWN,40.0,2025-03-14 16:23:11.000000 UTC
60296565,92834,2025-03-14 16:29:17.000000 UTC,66664521,252085377,552744781,16.617,STILL,99.0,2025-03-14 16:29:08.000000 UTC
60294406,11383,2025-03-14 16:25:35.000000 UTC,66609496,251906725,552640788,100.0,RUNNING,68.0,2025-03-14 16:25:45.000000 UTC
60294285,99331,2025-03-14 16:15:06.000000 UTC,66435460,251932140,552666617,2.0,UNKNOWN,40.0,2025-03-14 16:15:03.000000 UTC
60296248,75991,2025-03-14 16:28:15.000000 UTC,66649509,251805765,552708915,60.0,UNKNOWN,40.0,2025-03-14 16:28:12.000000 UTC
60295864,48267,2025-03-14 16:27:32.000000 UTC,66638176,251808691,552638602,11.171,IN_VEHICLE,95.0,2025-03-14 16:27:30.000000 UTC
60295901,93537,2025-03-14 16:31:06.000000 UTC,66695349,251933034,552678783,699.999,WALKING,96.0,2025-03-14 16:31:01.000000 UTC
60294877,11150,2025-03-14 16:29:26.000000 UTC,66668637,252088450,552741533,2.266,UNKNOWN,40.0,2025-03-14 16:29:23.000000 UTC
60295951,97280,2025-03-14 16:32:36.000000 UTC,66721283,251752630,553094161,18.25,UNKNOWN,40.0,2025-03-14 16:32:36.000000 UTC
60295372,77564,2025-03-14 16:27:21.000000 UTC,66635364,251902650,552644450,2.15,WALKING,97.0,2025-03-14 16:27:20.000000 UTC
60295618,70489,2025-03-14 16:33:37.000000 UTC,66739385,251877895,552790108,11.957,UNKNOWN,40.0,2025-03-14 16:33:43.000000 UTC
60292723,79055,2025-03-14 16:34:45.000000 UTC,66753427,251875600,552554700,1.433,STILL,57.0,2025-03-14 16:34:34.000000 UTC
60295538,70299,2025-03-14 16:36:14.000000 UTC,66777616,251722116,553012820,6.833,UNKNOWN,40.0,2025-03-14 16:36:04.000000 UTC
60296865,71411,2025-03-14 16:35:11.000000 UTC,66763243,251799373,552757063,6.066,WALKING,98.0,2025-03-14 16:35:10.000000 UTC
60294750,31742,2025-03-14 16:32:12.000000 UTC,66718936,251889181,552599987,92.9,STILL,45.0,2025-03-14 16:32:27.000000 UTC
60298064,87180,2025-03-14 16:35:27.000000 UTC,66764421,252069219,552704688,29.264,WALKING,87.0,2025-03-14 16:35:15.000000 UTC
60297227,47123,2025-03-14 16:37:25.000000 UTC,66797744,251923128,552619219,68.4,UNKNOWN,40.0,2025-03-14 16:37:18.000000 UTC
60297115,11645,2025-03-14 16:38:39.000000 UTC,66820498,251720145,553022057,16.435,WALKING,96.0,2025-03-14 16:38:42.000000 UTC
60296914,94975,2025-03-14 16:39:35.000000 UTC,66832197,251850112,552920493,7.44,WALKING,98.0,2025-03-14 16:39:25.000000 UTC
60297734,92028,2025-03-14 16:39:16.000000 UTC,66828868,251897728,552648612,23.168,UNKNOWN,40.0,2025-03-14 16:39:13.000000 UTC
60289999,91120,2025-03-14 16:32:54.000000 UTC,66726592,252100315,552735268,13.254,IN_VEHICLE,95.0,2025-03-14 16:32:56.000000 UTC
60296289,28206,2025-03-14 16:37:52.000000 UTC,66806237,252099194,552729555,16.654,UNKNOWN,40.0,2025-03-14 16:37:49.000000 UTC
60296312,11178,2025-03-14 16:39:37.000000 UTC,66837428,251920435,552912165,12.427,UNKNOWN,40.0,2025-03-14 16:39:45.000000 UTC
60298353,58192,2025-03-14 16:40:59.000000 UTC,66857040,251901276,552807923,10.859,STILL,53.0,2025-03-14 16:40:58.000000 UTC
60296919,63316,2025-03-14 16:35:55.000000 UTC,66776160,251944041,552660354,4.436,TILTING,100.0,2025-03-14 16:35:58.000000 UTC
60296951,45979,2025-03-14 16:36:23.000000 UTC,66784496,251920784,552623812,12.952,IN_VEHICLE,93.0,2025-03-14 16:36:29.000000 UTC
60295434,18808,2025-03-14 16:38:06.000000 UTC,66813681,251923870,552662620,16.298,WALKING,97.0,2025-03-14 16:38:16.000000 UTC
60296056,59062,2025-03-14 16:40:20.000000 UTC,66845480,251915501,552705445,13.04,IN_VEHICLE,96.0,2025-03-14 16:40:14.000000 UTC
60296837,91234,2025-03-14 16:44:14.000000 UTC,66914137,251800261,552657703,7.592,UNKNOWN,40.0,2025-03-14 16:44:30.000000 UTC
60296804,57661,2025-03-14 16:36:11.000000 UTC,66780812,251889222,552600928,21.841,WALKING,93.0,2025-03-14 16:36:16.000000 UTC
60295832,91230,2025-03-14 16:42:10.000000 UTC,66876233,252100346,552729647,4.398,UNKNOWN,40.0,2025-03-14 16:42:09.000000 UTC
60294632,72898,2025-03-14 16:39:14.000000 UTC,66832571,251913565,552657426,11.589,WALKING,98.0,2025-03-14 16:39:26.000000 UTC
60296311,95751,2025-03-14 16:35:06.000000 UTC,66761872,251825483,552554443,300.0,UNKNOWN,40.0,2025-03-14 16:35:05.000000 UTC
60299251,30335,2025-03-14 16:44:48.000000 UTC,66916469,251899652,552647027,135.6,STILL,100.0,2025-03-14 16:44:39.000000 UTC
60296725,12811,2025-03-14 16:42:37.000000 UTC,66883115,252094842,552788344,30.598,WALKING,95.0,2025-03-14 16:42:35.000000 UTC
60296112,86346,2025-03-14 16:38:06.000000 UTC,66811244,251907332,552653791,2.399,WALKING,96.0,2025-03-14 16:38:07.000000 UTC
60297948,95725,2025-03-14 16:40:05.000000 UTC,66842426,251865128,552913624,61.677,UNKNOWN,40.0,2025-03-14 16:40:03.000000 UTC
60297356,91559,2025-03-14 16:46:19.000000 UTC,66943633,251933175,552901726,200.0,UNKNOWN,40.0,2025-03-14 16:46:19.000000 UTC
60297346,99318,2025-03-14 16:41:23.000000 UTC,66862876,251807944,552637536,4.454,STILL,100.0,2025-03-14 16:41:19.000000 UTC
60298664,93920,2025-03-14 16:44:46.000000 UTC,66917947,252072250,552710682,1.9,TILTING,100.0,2025-03-14 16:44:44.000000 UTC
60296645,65106,2025-03-14 16:46:34.000000 UTC,66946506,251936697,552898324,41.049,WALKING,96.0,2025-03-14 16:46:30.000000 UTC
60298377,71844,2025-03-14 16:43:23.000000 UTC,66895716,252094585,552789623,28.111,UNKNOWN,40.0,2025-03-14 16:43:22.000000 UTC
60297803,92674,2025-03-14 16:47:53.000000 UTC,66970270,251923067,552770583,1.96,STILL,100.0,2025-03-14 16:47:58.000000 UTC
60297127,13322,2025-03-14 16:44:45.000000 UTC,66917041,251823919,552547932,100.0,WALKING,87.0,2025-03-14 16:44:41.000000 UTC
60299641,1213,2025-03-14 16:46:15.000000 UTC,66942259,251928536,552670630,9.873,IN_VEHICLE,98.0,2025-03-14 16:46:14.000000 UTC
60296599,5575,2025-03-14 16:48:16.000000 UTC,66974775,252108856,552736452,2.8,UNKNOWN,40.0,2025-03-14 16:48:15.000000 UTC
60297347,91436,2025-03-14 16:50:42.000000 UTC,67013267,252070935,552707643,52.4,UNKNOWN,40.0,2025-03-14 16:50:37.000000 UTC
