id_task,id_user,arrived_del_loc_at
60635375,91254,2025-03-18 09:49:58.000000 UTC
60635544,3455,2025-03-18 09:51:43.000000 UTC
60633223,62192,2025-03-18 09:51:51.000000 UTC
60636247,63539,2025-03-18 09:59:04.000000 UTC
60635616,30990,2025-03-18 09:53:49.000000 UTC
60635276,68605,2025-03-18 10:01:41.000000 UTC
60635997,70319,2025-03-18 10:00:01.000000 UTC
60635578,10904,2025-03-18 10:00:34.000000 UTC
60635907,71412,2025-03-18 10:01:52.000000 UTC
60637492,89076,2025-03-18 10:05:41.000000 UTC
60635741,31509,2025-03-18 10:04:47.000000 UTC
60637203,70868,2025-03-18 10:11:15.000000 UTC
